ID,Unique_Id,User id,User name,Store/Task Name,Campaign_Name,Partner,Status,Amouont,click_id,order_id,Payout,point_post_payout,conversion_date,Action_Date
51785,20146005,,,,Amazon India,cuelinks,,199,,B01LTI9KAW-Mobile Prepaid Recharge,2,,16-10-2024,15-10-2024
51786,20146056,,,,Amazon India,cuelinks,,1177.96,,B01NCPFE7R-Pigeon Oven Toaster Grill 9 Liters OTG without Rotiss,48,,16-10-2024,15-10-2024
51787,20146519,,,,Amazon India,cuelinks,,227.97,,B0D2R4GV94-Crompton Laser Ray Smile 20W LED Batten | Energy Effi,8,,16-10-2024,15-10-2024
51788,20146616,,,,Amazon India,cuelinks,,199,,B0DF6K2JCV-Realme Original 100W Supervooc Usb Type C Charging Da,5,,16-10-2024,15-10-2024
51789,20146619,,,,Amazon India,cuelinks,,75.42,,"B09GPK49SX-EcoLink 9-Watt Base B22 LED Bulb (Cool White,Pack of ",3,,16-10-2024,15-10-2024
51790,20146909,,,,Amazon India,cuelinks,,846.62,,B0CQTQ69K2-INSTAPLAY BLAST400 Party Speaker(Black) | 20W Bluetoo,20,,16-10-2024,15-10-2024
51791,20146943,,,,Amazon India,cuelinks,,803,,B07QP9PTZP-LPG cylinder booking,2,,16-10-2024,15-10-2024
51792,20147077,,,,Amazon India,cuelinks,,818,,B07QP9PTZP-LPG cylinder booking,2,,16-10-2024,15-10-2024
51793,20147113,,,,Amazon India,cuelinks,,139,,B01LTI9KAW-Mobile Prepaid Recharge,2,,16-10-2024,15-10-2024
51744,20113674,,,,Amazon India,cuelinks,,677.12,,B0D8C6LRMM-pTron PlayBuds 2 in-Ear TWS Earbuds with TruTalk AI-E,18,,15-10-2024,14-10-2024
